name,image_url,calories,fat,carbs,description,prep_time,cook_time,instructions,protein,id
"Grilled Pineapple with Brown Sugar, Coconut, and Rum",https://images.eatthismuch.com/images/recipe_image_placeholder.jpg,321,5g,65g,"1 serving of grilled pineapple with brown sugar, coconut, and rum  contains 321 Calories. The macronutrient
  breakdown is 84% carbs, 13% fat, and 3% protein.  This is a good source of fiber (15% of your Daily Value), potassium (7% of your Daily Value), and vitamin c (122% of your Daily Value).",20 minutes,50 minutes,"Directions Toast coconut in a small heavy skillet over medium heat, stirring frequently, until golden-brown, about 5 minutes.Cut pineapple crosswise into 8 slices (about 3/4 inch thick) and core slices. 
Stir together remaining ingredients in a shallow glass baking dish and add pineapple in 1 layer, turning to coat evenly. Marinate, turning occasionally, 30 minutes.Prepare a gas grill for direct-heat cooking over medium-high heat; see Grilling Procedure .Oil grill rack. Grill pineapple (reserve marinade), covered, turning once, until grill marks appear and pineapple is heated through, about 4 minutes.
Serve pineapple with marinade and sprinkle with toasted coconut.",2,204
Ratatouille,https://images.eatthismuch.com/img/3250810_Rhionnan_5cc03969-500d-480d-8cc2-3ecc8d15bf1f.jpeg,98,5g,13g,"1 Serving of ratatouille  contains 98 Calories. The macronutrient
  breakdown is 49% carbs, 40% fat, and 11% protein.  This is a good source of fiber (17% of your Daily Value), potassium (13% of your Daily Value), and vitamin b6 (29% of your Daily Value).",10 minutes,25 minutes,"Directions Sauté the onion, bell pepper, and garlic in the olive oil over medium heat until tender. Add the tomatoes and let simmer 10 minutes.Add the eggplant, zucchini, and squash, salt and pepper, and cook until the eggplant is tender.
Remove from heat and add black olives, oregano, and fresh basil. Can be served hot or cold.",3,205
Homemade Egg Pasta,https://images.eatthismuch.com/img/324507_ahoffner_160ffcba-dbdb-497a-a7d7-03152c9e4e43.png,354,10g,49g,"1 serving of homemade egg pasta (Requires pasta maker) contains 354 Calories. The macronutrient
  breakdown is 56% carbs, 26% fat, and 18% protein.  This is a good source of protein (28% of your Daily Value), iron (53% of your Daily Value), and vitamin a (16% of your Daily Value).",45 minutes,7 minutes,"Directions To Make the Dough: On a large, clean work surface, pour flour in a mound. Make a well in the center about 4 inches wide. Pour whole eggs, egg yolks, and salt into well and, using a fork, beat thoroughly. When combined, gradually incorporate flour into the eggs until a wet, sticky dough has formed.


Using a bench knife, scrape excess dough from fork and fingers. Begin to fold additional flour into the dough with the bench knife, turning the dough roughly 45 degrees each time, until dough feels firm and dry, and can form a rough-looking ball, 2 to 5 minutes.


Press the heel of your hand into the ball of dough, pushing forward and down. Rotate the ball 45 degrees and repeat. Continue until dough develops a smooth, elastic texture similar to a firm ball of Play-Doh. If dough feels too wet, add flour in 1 teaspoon increments. If dough feels too dry, add water slowly using a spray bottle.


Wrap ball of dough tightly in plastic wrap and rest on countertop for 30 minutes.


To Roll the Pasta: Meanwhile, place a sheet of parchment paper on a tray or cutting board and dust lightly with flour. Unwrap rested dough and cut into quarters. Set one quarter on work surface and re-wrap remaining dough. With a rolling pin, flatten the quarter of dough into an oblong shape about 1/2 inch thick.


Set pasta maker to widest setting and pass dough 3 times through the machine at this setting.


Place dough on a lightly floured work surface. Fold both ends in so that they meet at the center of the dough, and then fold the dough in half where the end points meet, trying not to incorporate too much air into the folds. Using rolling pin, flatten dough to 1/2-inch thick. Pass through the rollers 3 additional times.


Narrow the setting by 1 notch and repeat Step 7. Repeat once more (the dough should now have passed through the third widest setting). Continue passing the dough through the rollers, reducing the thickness by 1 setting each time until it reaches the desired thickness. It should now be very delicate and elastic to the touch, and slightly translucent.


Place rolled dough onto a work surface or baking sheet lightly dusted with flour or lined with parchment paper, folding the dough over as necessary so that it fits; sprinkle with flour or line with parchment between folds to prevent sticking.


Cover dough with plastic wrap or a kitchen towel to prevent drying, then repeat Steps 5 through 9 with remaining dough quarters. If making noodles, cut dough into 12- to 14-inch segments.


To Cut Noodles: Adjust pasta machine to noodle setting of your choice. Working one dough segment at a time, feed dough through the pasta-cutter. Alternatively, cut folded dough by hand with a chef's knife to desired noodle width.


Divide the cut noodles into individual portions, dust lightly with flour, and curl into a nest. Place on parchment-lined rimmed baking sheet and gently cover with kitchen towel until ready to cook. Pasta can be frozen directly on the baking sheet, transferred to a zipper-lock freezer bag, and stored in the freezer for up to three weeks before cooking. Cook frozen pasta directly from the freezer.


To Cook: Bring a large pot of salted water to a rolling boil. Add pasta, stir gently with a wooden spoon, chopsticks, or a cooking fork, and cook, tasting at regular intervals until noodles are just set with a definite bite, about 1 1/2 to 2 minutes. Drain, toss with sauce, and serve.",15,206
Prawns and Paleo Noodles,https://images.eatthismuch.com/img/324845_Sportpowerpro_61608884-20f1-47f1-bfda-31b344a76143.png,316,24g,19g,"1 serving of prawns and paleo noodles  contains 316 Calories. The macronutrient
  breakdown is 23% carbs, 67% fat, and 10% protein.  This is a good source of protein (15% of your Daily Value), fiber (17% of your Daily Value), and potassium (17% of your Daily Value).",10 minutes,15 minutes,"Directions Spiralize your zucchini using a spiralizer, mandolin, or very carefully with a peeler; set aside
Combine cajun seasoning (paprika, cayenne. salt, chili peppers, onion powder, garlic powder) in a bowl and toss with shrimp.

Heat 3 tbsp of the butter and crushed whole garlic in a pan

Add in red pepper and onion and sauté for 3-4 minutes

Add in cajun shrimp and let cook until opaque, 4-5 minutes.

In a separate pan heat remaining tbsp of butter and lightly sauté zucchini noodles for 3 minutes

Place zucchini noodles in a bowl and top with garlic cajun shrimp and veggie mixture

Taste and season as necessary. Enjoy!",9,207
Chinese Eggplants with Garlic Sauce,https://images.eatthismuch.com/img/1505925_elm333_efba4380-8521-441e-abd6-1969606c22f4.jpg,379,26g,38g,"1 servings of chinese eggplants with garlic sauce  contains 379 Calories. The macronutrient
  breakdown is 37% carbs, 57% fat, and 7% protein.  This is a good source of fiber (62% of your Daily Value), potassium (29% of your Daily Value), and magnesium (20% of your Daily Value).",5 minutes,20 minutes,"Directions Cut the eggplants into one bite size. Throw them in a large pot with water, add pinch of salt cook for 10 minutes. Transfer out and drain slightly.Meanwhile, heat oil in a wok or large skillet over medium heat. Add the eggplants, stirring occasionally, and cook until softened. Remove eggplant and set aside.Add garlic in with remaining oil, heat over low heat until fragrant. Add diced green pepper, return eggplants, and add remaining ingredients.Once green pepper is softened, divide between plates and serve.",7,208
"Goat Cheese, Tomato, and Parsley Scramble",https://images.eatthismuch.com/img/1008871_elm333_579934be-f055-4f0c-b4e2-60f0027306e3.jpg,361,22g,16g,"1 serving of goat cheese, tomato, and parsley scramble  contains 361 Calories. The macronutrient
  breakdown is 18% carbs, 56% fat, and 26% protein.  This is a good source of protein (42% of your Daily Value), potassium (10% of your Daily Value), and iron (45% of your Daily Value).",5 minutes,10 minutes,"Directions Whisk eggs, salt, and pepper in medium bowl.

Heat oil in medium nonstick skillet over medium-low heat. Add egg mixture and cook slowly, stirring frequently until eggs are almost set.

Stir in tomatoes and parsley; sprinkle with goat cheese. Cook for 1 minute, or until eggs are fully cooked.

Serve warm with whole-grain bread.",24,209
Baingan Bharta - Smoky Eggplant Curry,https://images.eatthismuch.com/img/328487_RebeccaDaaboul_d44291e0-67c3-4bd3-b677-e42609d92185.png,185,8g,28g,"1 serving of baingan bharta - smoky eggplant curry  contains 185 Calories. The macronutrient
  breakdown is 56% carbs, 35% fat, and 10% protein.  This is a good source of fiber (38% of your Daily Value), potassium (22% of your Daily Value), and vitamin b6 (38% of your Daily Value).",10 minutes,45 minutes,"Directions Place eggplant directly on gas stovetop so skin blackens and flesh cooks. If you have an electric stove, bake the eggplant in a 375 degree F oven for approximately 30 minutes until soft. Set aside until cool.Peel the skin off the eggplant and discard. Mash the eggplant flesh until only small lumps remain.
In a pan, heat the oil and add the onion, garlic, and chili and sauté until onions are translucent.Add chopped tomatoes and cook until pulpy and broken down.Add salt and red chili powder.Mix mashed eggplant into the pan with onion-tomato mixture and simmer for 5 minutes.Garnish with cilantro and serve. Enjoy!",5,210
Easy Skillet Green Beans,https://images.eatthismuch.com/img/303872_kgines_4da70840-2b57-4f46-a40e-99e166d5f5ba.png,58,4g,6g,"1 serving of easy skillet green beans  contains 58 Calories. The macronutrient
  breakdown is 39% carbs, 53% fat, and 8% protein.  This is a good source of vitamin k (24% of your Daily Value).",5 minutes,16 minutes,"Directions Heat a large skillet to medium high heat. Add olive oil and green beans to the pan. Cook for 10-15 minutes, stirring occasionally, until green beans have blistered or browned on the sides.Add in garlic, lemon zest, red pepper flakes, and salt. Stir and sauté for 1 minute.
Remove from heat, add lemon juice to pan. Stir to combine. Serve.",1,211
Scallops with Apple Pan Sauce,https://images.eatthismuch.com/img/45272_Shamarie84_2ce0ecd7-f094-4023-aaa0-97ba8497a2be.png,224,10g,20g,"1 serving of scallops with apple pan sauce  contains 224 Calories. The macronutrient
  breakdown is 35% carbs, 41% fat, and 25% protein.  This is a good source of protein (25% of your Daily Value), potassium (8% of your Daily Value), and vitamin b12 (67% of your Daily Value).",20 minutes,20 minutes,"Directions Core 1 apple; cut into 1"" cubes. Place in
a blender with lemon juice and 1/4 cup water;
pure until smooth. Strain juice through a
fine-mesh sieve into a small bowl. Peel,
core, and cut remaining apple into 1/4"" cubes.
Add to bowl. Set aside.Heat oil in a large skillet over medium-high
heat. Season scallops with salt and
pepper. Working in batches, cook scallops
until golden brown and just cooked through,
about 2 minutes per side. Transfer to a plate;
tent with foil to keep warm.Add butter to skillet. Cook, scraping up
browned bits from bottom of pan. Add
reserved apple mixture and cook, stirring
often, until juice is thickened and apple
pieces are tender, about 4 minutes. Spoon
over scallops; top with taro shoots and season
with salt and pepper.",14,212
Slow-Cooker Spinach Tomato Vegetable Soup,https://images.eatthismuch.com/img/287340_Mscree01_1582dafc-b91c-425c-bae1-4d715697a9e2.png,31,0.3g,6g,"1 serving of slow-cooker spinach tomato vegetable soup  contains 31 Calories. The macronutrient
  breakdown is 67% carbs, 7% fat, and 26% protein.  This is a good source of potassium (7% of your Daily Value), vitamin a (27% of your Daily Value), and vitamin k (121% of your Daily Value).",10 minutes,300 minutes,"Directions Place all ingredients in a slow cooker.Cover and cook on high for 5 hours.Remove bay leaves, stir, and serve.",2,213
